no|title|text|senti_value;;
252|kecewa|Agan-agan ada yang tau nomor kontak CS blanja.com yang bisa direspon? mohon bantuannya,terima kasih|1;;
253|Not Recomended|Blanja.com SANGAT MENGECEWAKAN Tgl 21 juni 2016 saya order baju untuk keperluan acara tapi barang yang saya terima tidak sesuai dengan yang saya pesan sangat berbeda dari segi design dan warna|1;;
254|ol shop terparah|kenapa terparah? saya langganan sama banyak ol shop, tidak seribet blanja.com dalam hal cara pembayaran transfer bank.. parah abis|2;;
255|blanja.com tidak jelas|belanja on line di blanja.com mama toko sebab digital. Semua tidak ada yang jelas. Tidak ada nmr telpon yg bisa dihubungi. Sampai sekarang barang belum sampai ke tujuan.|1;;
256|TIDAK RECOMENDASI BANGET|Pembelian handphone dari seller SonicPhone jakarta untuk buyer luar kota ga ada niat Seller bantu claim garansi 1 thn dan sangat TIDAK RECOMENDASI banget, coba hub pihak Blanja.com pun tidak bisa bantu untuk permaslahan ini harap hub. Pihak Seller...klo semua jual lepas dan tdk bisa bantu Claim Garansi, anak kecil juga bisa. Anda maen Save untuk jualan...untung di Seller dan rugi di Buyer ( mohon diperhatikan semuanya )|1;;
258|Pengiriman lambat dan barangnya KW!!!|Saya membeli powerbank xiaomi 16000mah pada tgl 5jun16..setelah pembayaran dan menunggu 1 minggu barang tak kunjung dikirim..saya complain mereka menjawab bahwa pengiriman dr luar negeri memakan waktu 15-20hari (what the....)..setelah 23 hari barang datang dan.......barangnya KW! Demi dewa neptunus ini menyebalkan sekali..cek sana sini ternyata fix itu barang palsu alias KW..(tdk ada nomor seri, tanda2 barang palsu bermunculan)..demi kerang ajaib ini sungguh faak sekali..|1;;
259|Brengsek|Saya melakukan transaksi pembelanjaan di belanja.com pada hari kamis 16/6 dengan no Order [private info removed] Pada hari senin 20/6 saya terima notifikasi bahwa barang sedang dalam pengiriman. Kemudian setelah saya check trackingnya. Barang dikirimkan ke alamat dan orang yang salah yaitu: Enuy . NUR RIAWATI JL. KEBON JERUK IX NO. 26 MAPHAR Taman Sari 11160 Kota Jakarta Barat DKI Jakarta, Jakarta Bara Dimana seharusnya dikirimkan ke alamat saya di tim asih townhouse. Jl tim asih no 7 kab b1 jati asih bekasi 17423 Sampai saat ini Barang TIDAK PERNAH SAMPAI SAAT INI JUGA!!!!! Baru kali ini saya mendapatkan online shop yang sangat tidak kompeten seperti ini dan saya tidak akan merekomendasikan blanja.com kepada siapapun. Dan setiap hari saya menelpon Customer service yang brengsek semua dengan jawaban semena2 sampai bilang: apa ibu yang mau telp merchant nya sendiri? KURANG AJAR sekali terhadap customer dan dimana letak pelayanannya. Yang lain hanya bilang tolong tunggu saja. Saat ini saya harap titik terakhir kalian dapat mengembalikan uang saya atau kalian akan saya blast ke facebook dan akan saya laporkan ke YLKI untuk perlindungan konsumen akibat kebrengsekan kalian.|1;;
260|Ga jelas bingit|waktu itu saya beli barang dan sudah transfer, ternyata dpt konfirmasi dari penjual barangnya kehabisan stock, dan di kasi tau suruh mengajukan refund, form refund sudah diisi lengkap, sampai sekarang belum ada kejelasan refund, msh aja uang nongol di saldo blanja.com dan bukannya direfund segera, nomor telpon kantor blanja .com dilihat di websitenya tidak ada, yang ada hanya email, sudah diemailpun tidak ada kejelasan membalas.. ampuun gajebo banget, niat bikin ecommerce gak sih?? thanks|1;;
261|pembayaran yg aneh|Penjelasan tentang cara transfer tidak jelas, setelah melakukan pembelian via Atm transfer, tidak ada opsi bank tujuan.. Langsung di berikan notifikasi kode pembayaran saja -_- tidak disertakan no rekening tujuan yg akan di transfer,,|1;;
263|Fee 3% cancel order???|ini lebih kacau system pembayaranya, jika menggunakan kartu kredit dan cancel akan kena fee 3%, bayangkan saja kalau transaksi 7jt tru dicancel sama seller atau tidak sesuai, trus dikurang fee 3% 210.000,- cuiiii...pikir2 dulu belanja disini.|1;;
264|2x belanja 2x dikecewakan|Pertama beli Xiaomi Redmi 2 nunggu 1 minggu tdk dikirim2 saya komplain cm suruh nunggu, stlh 2 minggu dikomplain br bilang stok habis pdhl produk masih tepampang dgn stok >50 dan dicancel proses refund juga berbelit2 alhasil 1 minggu uang br cair. Fatal!!! Kedua iseng2 beli pulsa 25rb 2bln tdk terkirim dan saya refund (sdh males complain) refund diproses jg lama bgt sampe lupa n aku ikhlasin, dan hari ini skitar se thn kemudian iseng2 buka blanja.com nyari2 hasil refund sprti apa dan gak tau uangku lari kmana... ck..ck..ck.. heran kok masih buka ni toko dengan jutaan komplain... BERHATI-HATILAH.... Aku plg hobi belanja online dan hampir tiap hari selalu selesai dgn memuaskan di olshop lain tp tidak di blanja.com|1;;
265|Blanja .Com nipu|Sudah 2 bulan yl saya belanja beli pulsa Telkomsel di blanja.com sampai sekarang pulsanya tidak pernah masuk..di komplain ke Custoner Service bilangnya tunggu tunggu melulu mau di tanyain dulu ke selulernya sampai sekarang uang lenyap pulsa tidak pernah masuk ya udah ....KAPOK BELANJA LAGI DEH di blanja.com|1;;
"266|Tidak Menyediakan Informasi Yang Akurat|""Ada produk yang dijual dengan harga sangat miring, saya mencoba membelinya. Note : 1. Setelah konfirmasi respon email atas ID pemesanan cepat 2. Kita memilih cara pembayaran, dengan pengalaman pertama tentu saya tidak menggunakan pembayaran via kartu kredit. Saya memilih internet banking, pilihan terdekat adalah ATM transfer. Emang ini tahun 80an belum bisa pake internet banking??? 3. Oke lah ATM transfer, kita bisa jalan ke ATM terdekat dari rumah anda. Terus bayar kemana??? Klik semua yang bisa di klik di blanja.com cari cara pembayaran dengan ATM hanya ada contoh2nya. Terus gue harus transfer kemana keles??? Emang tu ATM bisa gue ajak omong? 4. Anggap gue ga ngerti link nomer rekening tu online shop, klik deh live chat, bantuan operator cing, biar cepet kya online shop sebelah. Responnya cepet cing!! Belum 1 menit sudah muncul di email yahoo ane, judulnya ane singkat aja pake bahasa Indonesia biar paham ya >>> """"Sabtu minggu toko ini tutup customer service tidak melayani tanya jawab"""" 5. Capek deh""|1";;
269|Belanja.com? Nggakkk dehhhh|situs jual beli onlen paling mahal, CS cuek dan susah dihubungi. ..saya pernah beli perlengkapan make up, taghan yang tertera di atm lebih besar dari jumlah yang seharusnya saya bayarkan diemail, lha kok bisa beda gini.. komplaiin via chat ga di bales, email juga responnya tidak ramah... Kemudian belanja kedua kali ..eh trnyata masi ada biaya administrasi yg harus saya bayarkan...situs yg anehhhhhh|1;;
270|Korban blanja.com|Ini pertama kali saya belanja di blanja.com karena ada promo dari kartu halo saya.. Saya tukarkan point akhirnya saya membeli sepatu dgn kartu kredit saya, pembayaran berhasil tapi saya bingung kenapa resi tidak dikirim2 dan gak ada informasi ttg barang kpn dikirim,,, saya jg bingung bagaimana cr menghubungi seller karena saya awam bgt blanja.com ini Untuk yg mao bantu Tolong kirim e-mail ([private info removed]) ke saya prihal nomer call center dan bagaimana cr mendapatkan nomer seller nya proses refund dan pengembalian point klo misalnya barang saya tdk dikirim2|1;;
273|csnya bolot goblok !!!|semoga cepet bangkrut!!!!|1;;
274|mengecewakan|hebat bisa ada kebijakan menentukan sendiri pembatalan pesanan, bayar pakai kartu kredit pengembalian dana dikurangi 3% padahal di e-commerce lain gak ada aturan kyk gitu. kapok belanja di sini, gak lagi2 deh.NOT RECOMMENDED!|1;;
277|blanja.com|saya pernah belanja hp asus pki vcr discount....blanja.com seenaknya aja cancel.....dan parahnya lg karna trx saya pki kartu kredit gw kena charge 3 persen udah saya komplen ke twitter tetep aja mereka menang...karna ada t & c.....selama saya belanja online.....blanja.com paling buruk.......gw kagak bakalan lg nih belanja disini|1;;
278|Sangattt buruukkkk dan mengecewakan|Saya membeli iphone se 64 gb di blanja.com pada tgl 19 april 2016 menggunakan kartu kredit sampai tgl 22 april saya tunggu2 tidak jg dikirim resi pengirimannya, terus brg itu dicancel oleh blanja.com dan dana direfund ke saldo virtual, setelah saya melakukan penarikan dana mulai dr tanggal 22 april sampai sekrg 29 april 2016, dana belum jg masuk ke rek. Katanya 3-5 hari kerja, ini udh seminggu jg belum masuk.. Layanan yg sgt mengecewakan.. Cukup sekali saya di blanja.com, situs jual online yg tidak bagus, pelayanan buruk, memalukan.. Kalau jg dlm beberapa hari ke depan dana refund tdk masuk.ke rek, maka saya buat laporan polisi atas penipuan merugikan org lain|1;;
279|Penipu|Pesanan saya dicancel dengan alasan yang mengada ada. Saya kecewa dengan pelayanan customer care nya. Kapok belanja disini.|1;;
280|Respond Lama|Bad bad bad..... Beli barang status cm pembayaran diterima, setelah cek seminggu ktnya penjual out of stock tp gk diinfo apa2 dari pihak penjual or cust care. Proses refund pun lama harus konfirmasi penjual dulu, trus ada proses tarik uang, dan sampe detik ini sy nulis review ini sudah 1 minggu proses refund saya belum masuk2 uangnya. Saya jg sempet double payment karena saat bayar sempet keterangan sistem eror yg dimana dr cc saya sudah terdebit 2 kali, tp mereka sempet blg hanya terima satu pembayaran, pdhal saya sudah kasih kode dr pihak yg menyatakan sudah terdebit 2x. Bad experiences,,,,mikir 100x tuk belanja disini lagi.|1;;
281|Sistem Buruk ( Respon Lambat dan proses Refund Dana Ribet)|Pertama kali sy blanja di Blanja.com. belanja tanggal 28 Maret melalui transfer bank, awalnya sih seneng karena setelah transfer langsung ada konfirmasi otomatis melalui sms dan email bahwa sy telah melakukan pembayaran. Namun setelah 4 hari mulai ada yg nggak beres, pihak seller tidak memberikan respon padahal barang yg sy pesan sudah soldout dan sy coba menguhubungi @supporcenter menanyakan hal ini, kemudian sy menanyakan bagai mana jika refund dana sy, pihak @supporcenter menyuruh sy untuk mengklik aplikasi refund. dan sy harus menunggu 3 hari lagi karena proses refund harus meminta persetujuan seller dan jika selama 3 hari pihak seller tidak merespon maka dana sy akan kembali secara otomatis. ehhh sdh 3 hari berlalu dana sy belum kembali jg ..... padahal sy belanja di e-comerce sebelah jika dalam waktu 3 hari tidak direspon seller maka uang sy otomatis kembali, lalu sy tinggal transfer ke rekening melalui akun virtual sy dan hanya 1 jam uang sy sdh kembali ke rekening mandiri sy. sy sangat kecewa dgn blanja.com karena prosesnya yg ribet dan bertele-tele ....|1;;
282|Toko online dan Ukm Seller yg not recomended|Saya melakukan transaksi pada tgl 29 Maret 2016 dan transfer pada tgl 30maret2016 sudah terverifikasi, hingga hari ini status transaksi hanya ada keterangan telah dibayar, tp tidak ada respon dari seller, saya e-mail ke support blanja.com menjelaskan bahwa untuk setiap transaksi ada masa tunggu H+1 dari hari pembayaran dgn kata lain saya transaksi tgl 29 dan bayar tgl 30 transaksi saya masih harus menunggu sampai tgl 31 pukul 15:00 wib, tapi sampai saat ini saya lihat kembali transaksi saya belum ada update sudah di kirim oleh pihak penjual, selama saya berbelanja di online shop lain belum pernah selama ini, biasanya transfer pagi, sore hari sudah dpt resi pengiriman. kalau mau belanja di blanja.com harus sabar menunggu total 3hari utk verifikasi pembayaran, dan kalau transaksi ada aprove baru di lanjutkan ke seller, dan harus menunggu lagi pihak seller mengirimkan ke kurir, dan silahkan menunggu lagi sampai kurir mengantarkan ke rumah anda, yah kira2 untuk paket YES Jne saja, jika transaksi di blanja.com akan sampai 1-2minggu kemudian karena lamanya verifikasi transaksi customer, so silahkan belanja smart, mau belanja santai dan betah menunggu dan komplain sana sini, blanja.com tempatnya........|1;;
"329|Pengiriman lama|""Pengalaman belanja ke-2 di Blibli, ternyata masih tetap lama proses pengiriman barangnya. Saya transaksi tgl 14 Feb 17 sampai dengan 18 Feb 17 ini status barang masih """"SIAP DIKIRIM"""".. :( just info dulu yang ke-1 beli Pure It dan ke-2 beli Handphone. padahal belanja di online shop lain 2 hari setelah transaksi barang sudah diterima bahkan ada yg pernah besoknya sudah diterima barangnya dan itu pakai reguler shipping. jadi perlu mikir lagi untuk next order ke Blibli the biggest online mall ini ya..""|1";;
331|Kecewa|Kmaren saya mau beli barang di blibli, saya udah mau beli 2 barang, pertama sepatu futsal dgn koper, dan masing2 barang bertuliskan gratis pengiriman, tp saya bingung knp saat mau transfer uang pembayaran, ko malah d tambah dgn ongkir pd masing2 barang... Yg tadinya mau beli jd batal beli, pdhal kan lokasi saya d banjarmasin g d pelosok yg tdk terjangkau ...|2;;
359|tolong blibli bertanggung jawab|Saya beli HP LG G PRO 2 sejak 1 april dan barang saya ternyata tidak ada di dalam paket atau box pengiriaman. saya mendapat laporan langsung dari pihak jasa kurir first logistics. Tolong insiden ini agar di selesaikan karena saya sebagai konsumen sangat kecewa. tolong hubungi pihak first logistics karena saya belm mendapatkan paket dan hanya laporan saja dari pihak sana kalau ternyata paket saya rusak dan dialamnya tidak ada HP nya. Saya harap BLIBLI Bisa TANGGUNG JAWAB|1;;
365|Sedihh|Tgl 31 maret kmren sy order iphone, kebetulan pembayaran sy pakai mandiri kredit cicilan 0%...tetapi yg datang kardus kosong...dan ternyata hari ini sudah ada tagihan kartu kredit sebesar cicilan tsb...namun barang yg sy terima masih ZONK...apakah bisa pesanan sy tsb dibatalkan?? Truss untuk pengurusan kartu kredit sy gmn yaa?? padahal sebelumnya sy pernah order 2x handphone di blibli gak ada masalah....kali ini sy benar2 kena ZONK padahal ini iphone pertama saya...mohon penyelesainnya...tks|1;;
373|pertanyaan|kalo kredit hp d blibli pngiriman ke daerah bandung paling lambat berapa hari|2;;
382|Sangat mengecewakan|Bagus: pesanan saya [private info removed] sampe skr blm ditindaklanjuti Bagus: Pdhl saya lakukan pmbyran tgl 18 Azka: Sangat disayangkan ya Pak atas kendala yang terjadi ini. Azka: Dan disini Bapak juga mengajukan percepatan pengiriman ya Pak untuk pesanannya ini ? Bagus: Iya mbk...soalnya itu barang buat kado besok Azka: Baik Pak Bagus, kami mohon maaf sekali Pak untuk perihal ini memang sudah dibuatkan pelaporannya oleh rekan kami Winda. Azka: Namun kami mohon maaf sekali masih dalam proses follow up dan kami masih menunggu report dari pihak pengiriman kami Pak. Bagus: [private info removed] itu jg pesanan saya Azka: Kami akan bantu lakukan kembali proses follow upnya Pak secara berkala, dikarenakan untuk saat ini pihak pengiriman kami sudah off kerja Pak atau sudah pulang. Azka: Jadi kami baru dapat lakukan follow up kembali peresok harinya pada hari kerja berikutnya. Bagus: Oalah...berati besok kado buat kepindahan pak.boss harus kami belikan lagi mbk Bagus: Trus itu pesanan saya enaknya diapain ya mbk.azka Azka: Baik Bapak Bagus. Bagus: Kirain dgn beli di blibli bisa dpt barang lebih cepat dari dinomarket ato lazada Bagus: Mbk.azka...itu kalo batal kan hny dapat vocer...tp kalo gak usah dikirimkan kesini bisa gak Bagus: Drpd nanti jg toh akan kami kembalikan lagi ke blibli Azka: Kami mohon maaf sekali Pak Bagus untuk perihal ini dikarenakan Bapak juga melakukan pembayarannya kan dengan metode pembayaran Transfer ke Rekening Mandiri ya Pak, dan memang untuk konfirmasi pembayarannya sendiri adalah 1 hari kerja. Azka: Baru pesanan Bapak Bagus ini akan diproses. Azka: Yang dimana prosesnya adalah 1-2 hari kerja untuk proses pengecekan produknya untuk dilakukan pengiriman ini Pak. Bagus: Iya mbk..saya yg minta maaf karena salah memilih pembayaran Azka: Untuk produknya kami akan bantu pastikan cepat sampai Pak, namun mengingat alamat pengirimannya sendiri di Jawa Timur ya Pak kami tidak dapat memastikan besok akan sampai. Azka: Paling cepatnya hari Selasa Pak kami akan bantu. Azka: Dan mengingat juga disini pengiriman sendiri dilakukan pada hari kerja dan jam kerja saja Pak Bagus. Bagus: Mungkin ada solusi lain mbk.azka buat konsumen yg selalu salah dan cerewet sprt saya mbk... Azka: Sabtu dan Minggu tidak ada pengiriman Pak. Azka: Sebenarnya Bapak Bagus sama sekali tidak salah Pak disini Azka: Kami memaklumi Pak karena Bapak baru paham saat ini untuk sistemnya ya Pak, baik Pak kami akan bantu untuk follow up secara berkala perihal ini. Azka: Agar pesanan Bapak ini bisa segera dikirimkan dan bisa Bapak terima. Bagus: Pdhl dulu blibli gak sprt ini lo mbk...saya dah member mulai th2012 dan sering belanja di blibli Azka: Baik Bapak Bagus mohon maaf ya Pak. Azka: Memang untuk pengiriman dan pesanan sendiri terjadi overload Pak, yang dimana ratenya memang sedang naik sekali, jadi kami sedang melakukan proses penyesuaian Pak agar tiap pesanan customer bisa diterima dengan baik dan tepat waktu.|1;;
389|Pelayanan Mengecewakan|Saya pertama kali membeli produk di Blibli.com dan ternyata pelayanannya sangat mengecewakan pengiriman lama dan nomor matrix yang diberikan ga jelas kapan aktifnya. Tgl 28 Maret 2016, saya melakukan pembelian produk MSP (Matrix Super Plan) 200 24Bln - Sony Xperia M4 Aqua tetapi produk baru sampai tanggal 5 April 2016. Apa karena free ongkir jadi lama sampainya? Padahal dihari yang sama saya melakukan pembelian produk di online shop yang lain, dan produk sudah sampai dalam 2 hari. Tanggal 5 April 2016 saya terima produknya dan minta oleh kurirnya untuk menandatangani form berlangganan nomor matrix tetapi tidak diminta fotocopy KTP. Ternyata dalam catatan form aplikasi nomornya diperlukan fotocopy KTP sehingga saya menghubungi customer care blibli mengenai hal tersebut, namun diinformasikan oleh customer care tidak masalah jika tidak mengirimkan fotocopy ktp. Estimasi waktu untuk aktifasi nomornya adalah 3 - 7 hari kerja dan saya diminta untuk menunggu aktifasinya sampai tgl 14 April (7 hari kerja). Tanggal 14 April ternyata belum aktif juga, dan diminta untuk menunggu sampai tgl 15 April. Tgl 15 April saya hubungi kembali customer care, dan diinformasikan ada kendala aktifasi dikarenakan belum mengirimkan fotocopy KTP. Padahal sebelumnya diinformasikan ga masalah tanpa copy KTP. Kenapa bisa ada informasi yang berbeda?? Ok, saya kirimkan copy ktp nya di tanggal 15 April dengan harapan paling lambat hari Senin, 18 April sudah aktif, ternyata belum juga. Dijanjikan lagi 19 April aktif, ternyata ga aktif juga. Dijanjikan lagi tanggal 20 April paling lambat jam 18.00, ternyata belum aktif juga. Yang sangat disayangkan lagi, tidak ada inisiatif dari pihak Blibli untuk menginformasikan status aktifasinya tanpa saya harus selalu menghubunginya.|1;;
399|Blibli leleeeettttt....!!!!!|Saya beli iphone 6+ 64gb sama oppo f1 , tanggal 23 maret 2016 bayar pertama + dp , terus tanggal 29 maret 2016 udh masuk lagi tagihan kedua dan sampe sekarang tanggal 3 April 2016 barang nya belum juga nyampe.. Gimana niihhh ?? Pembayaran musti cepat 1x24 jam , tapi proses pengiriman super lambaattt !!!|2;;
402|Shipping gratis tapi LAMA SAMPAI!|Pesan dan bayar hari sabtu (bukan hari kerja). Sistem gak bisa langsung konfirmasi, harus konfirm manual, lalu proses verifikasi sampai hari selasa (2 hari kerja). Terus mesti nunggu penjemputan kurir (2-4 hari kerja). Belum lagi lama shippingnya. Mending cari tempat belanja lain, hemat ongkos tapi percuma kalau barang butuh cepat, gak lucu kan mau bikin hadiah ulang tahun malah terlambat sampai 2 minggu. Coba cek bukalapak.com (seller personal), kadang ada seller yang hari minggu pun shipping JNE dan pembayaran gak perlu dikonfirmasi manual, penjual personal bisa kelihatan kecepatan konfirmasinya dan review lengkap, jadi kita bisa memperkirakan sendiri kapan barangnya sampai. Atau lazada/tokopedia, meski harus konfirmasi manual, verifikasi pembayaran cuma 1-2 jam kerja. 2 star, include bonus 1 karena wajar pengiriman gratis = paket harus dipooling dulu biar lebih murah = super lama sampainya. Terserah anda yang mau hemat sedikit untuk ongkos kirim atau sampai 4 hari lebih cepat di onlinestore lain.|2;;
406|merasa di tipu|saya belanja xiaomi redmi note 3/32gb/3gb ram yg di kirim adalah xiaomi redmi note 3/16gb/2gb ram. secara harga promo dan barang tidak sesuai,semoga proses pengembalian barang berjalan lancar,sdh sy lakukan form untuk pengembalian barang,mohon di ganti dengan spec yg sesuai promo. apakah prosesnya lama? seharusnya memeriksa dulu barang sebelum di kirim,tapi apakah ini kesengajaan?|2;;
415|TIDAK PUAAAASSS!!!|Saya beli barang tgl 28 Maret, sampai tgl 02 April masih status menunggu pengambilan kurir, Parah! Biasanya saya kalau belanja online, 1 hari sudah dapat no Resi, ini mah boro2 masih belum di pick up juga. Setiap nanya customer care akan segera kami cek. Saya ga butuh cek, butuhnya dikirim. Tolong untuk management blibli.com untuk segera perbaiki kinerjanya, jangan mengecewakan customer, karena kami beli bukan pake daun. Jika keluhan saya tidak direspon juga, tidak menutup kemungkinan usia blibli tidak akan lama lagi karena banyak sekali customer yang kecewa, atau bahkan saya bisa buatkan berita yang tidak baik untuk blibli.com, karena saya juga banyak pegang situs2 berita sebagai administratornya. Masalah pengiriman dan kekecewaan yang lain saya lihat sudah banyak yang kecewa, tapi kenapa tidak ada perubahan. Andaikan saya sebelum belanja baca review ini, ga mungkin saya belanja di blibli.com. Tolong perbaiki kinerja kalian, percuma sudah iklan di tv juga kalau masih mengecewakan, bisa jadi blibli.com salah satu pelanggar UU ITE. Ini no pesanan saya : [private info removed] Jika tidak ingin complaint saya berkelanjutan, tolong urus pesanan saya dengan cepat dan PASTIKAN pesanan saya sesuai dengan spesifikasi yang ada di katalog produknya. Terima kasih|2;;
417|Pengiriman Lama sekali.. Kecewa|hari jumat tgl 15 april 2016, saya pesan meizu m2 2 unit, ternyata samapai sekarang blm sampai2, dan pihak blibli beralasan blm ada jawaban dari pihak mercahnt Goodprice. seharusnya dr jakarta ke jakarta itu bisa 1 hari -2 hari, lebih baik merchant2 yg tidak ada respon tdk usah masuk blibli..blibli harus sleksi merchant2 nya. agar konsumen tdk kecewa..|1;;
"429|Saya Merasa Ditipu|""Hati-hati, ya, kalau Anda ingin membeli produk di sini, terutama ponsel. Jangan gampang diiming-imingi harga murah seperti saya. Proses pengajuan klaim juga tidak """"semudah"""" yang kalian baca atau yang kalian dengan dari customer care-nya. Barang saya ditahan 23 hari hanya untuk """"pengecekan"""" dan disuruh bayar biaya service sendiri. Selain itu, customer care-nya (sebagian) memang ramah, namun tidak solutif dan terkesan bertele-tele. Permohonan maaf mereka juga formalitas. Bahkan ada customer care yang tulisannya kurang jelas dan menutup chat saya sebelum saya bilang sudah. Kalau saya bisa kasih bintang yang lebih rendah dari satu, maka saya akan memberikannya.""|1";;
438|Kurang Puasm|Review awal saya kasih bintang 2. Trnyata pengirimannya luama buanget. Validasi pembayaran doang butuh 1x24jam. Dr tgl 29 smpai skrg, 4hr, status msh nunggu pengambilan kurir . . . Huftt... Kurir 4hri dah bisa kliling dunia. Apa kurir emg dr dunia lain?|2;;
441|Tidak bisa memilih jasa pengiriman|Sejak tambah jasa pengiriman saya tidak bisa memilih jasa pengiriman. Ini tolong diperhatikan, sekalipun gratis. Karena saya tidak mau barang dikirim jasa pengiriman macam first logistics yg terkenal lama dan banyak masalah dalam mengirim.|2;;
446|Parah|Order id [private info removed], sudah dibayar sejak tanggal 26 maret 2016, tapi sampai hari ini 5 maret 2016, status pesanan masih menunggu pengambilan kurir (sudah seminggu lebih, melebihi tanggal yg dijanjikan saat order). Tidak ada konfirmasi apa-apa dari pihak blibli sampai saat ini. Mantabs deh buat yg mau belanja disini. Mudah2an barangnya dikirim, kalau tidak ya sudah duit melayang belanja disini.|2;;
452|DITIPU 2 kali turut2 bulan yg sama|pembelian pertama tgl 2 april 2016, xiaomi redmi note 3 32 GB gold,barang yg di kirim 16 GB gold,setelah proses pengembalian yg lama (uang ongkir retur belum balik juga) akhirnya dana sy di kembalikan dgn alasan salah spec,baik saya pun kbali beli xiaomi redmi note 3 pro 32 Gb gold pada tgl 18 maret 2016 barang datang tgl 19 maret,tapi yg datang tetap sama xiaomi redmi note 3 16GB bahkan bukan yg pro,alhasil saya kembali komplain dan di tangapi dengan santai,tuker kembali. saya heran dengan blibli.com begitu ceroboh salah 2 kali turut2,kali ini saya yakin kalau website online ini tidak profesional sama sekali. atau bahkan berniat menipu. 2 kali turut2 dengan barang yg sama pembeliannya. KAPOKKKKKKKKKKKKK gua kapok,habis waktu,rugi ongkir retur pertama aja blm balik.|1;;
462|Kecewa|Saya baru melakukan 1 kali belanja di blibli.com, saya melakukan pesanan barang pada hari minggu 24 apr 16 dan telah dikabari barang tsb telah sampai pada rabu 27 apr 2016. Telah barang yg dikirim tidak sampai kerumah saya (salah kirim). Saya pun telah melakukan pelaporan kepada pikah blibli.com pada hari yg sama dan sampai hari ini (30 apr 16) belum ada informasi lbh lanjut mengenai barang yg saya pesan. Terima kasih|1;;
463|Pengiriman sangat Lambat dan detail pesanan tidak akurat|Saya order pesanan [private info removed] pada tanggal 30 Maret 2016 dan sampai sekarang tanggal 1 April 2016 barang belum juga sampai di alamat rumah saya padahal domisili di depok. yang lebih menjengkelkan di detail pesanan saya tertera jasa pengiriman oleh JNE Reguler dengan nomor resi BLI[private info removed]*** setalah saya tracking di web JNE data tidak ada data dan saya live chat dgn Belinda bahwa pesanan saya diantar dengan blibli messenger. untung saya belum komplen ke JNE terkait hal ini.mohon untuk BLIBLI dapat mengirimkan pesanan saya secepatnya. sebab sy beli produk di toko online e-commerce lain selalu puas dgn pengiriman yg cepat.tapi tidak dengan blibli.com|2;;
485|1x24 jam akan dihubungi???manaaa|Saya pesan Xiaomie Redmi Note 3 spec 3rm/32gb tp yg dateng malah Xiaomi Redmi Note SPEC 2RAM/16GB.... Trus suruh nunggu konfirmasi utk pengembalian barang harus tunggu tlp ato email dari CS 1x24 jam tp skrng sdh lwt waktunya ga ada kabar?? Live chat sama CS nya malah suruh tlp tollfree nya....hedehhh... Ini modus baru penipuan atoooo apa ya?? Tolong segera diselesaikan!!! Udh banyak review bagus malah makin tidak telitiiii....|2;;
527|Kecewa|Ini pengalaman sudah cukup lama, sekitar 1 tahun yang lalu. Saya pernah beli notebook acer aspire v5-132 disana ada pilihan touchscreen atau yang biasa, harganya tentu beda cukup jauh. Saya pilih yang touchscreen dengan pembayaran menggunakan kartu kredit. Kemudian pesanan datang dan tidak saya buka karena saya beli untuk hadiah adik saya. Setelah beberapa waktu saya berkunjung ke rumah orang tua dan menemukan notebook adik saya tsb ternyata TIDAK touch screen. Saya sangat kecewa dengan harga yang cukup jauh berbeda saya dapat barang tidak sesuai dengan pesanan. Malas komplain karena selain ribet, juga saat itu sudah bbrp bulan berlalu sejak pembelian. Gondok pastinya, tapi saya relakan saja. Karena kejadian ini saya anti beli barang elektronik di toko online.|1;;
"534|""Status sudah 5 hari """"Masih dalam proses pengambilan olehb kurir""""""|Gmn nih dengan pesanan saya no pesanan :[private info removed] ?padahal ini pengalaman pertama saya belanja di blibli.com kok begini ya?barang kok gak diambil2 oleh kurir padahal saya order dr tgl 31 maret 2016 sampe skarang statusnya belum berubah email ke customer cate pun lama sampai sekarang blm dibales. Kecewa nih|2";;
547|PERGANTIAN ALAMAT|NO. PESANAN: [private info removed] Pesanan sedang diproses 28 March 2016 13:26 Hari itu juga saya request pergantian alamat, dan disetujui oleh pihak blibli dikarenakan barang belum terkirim. dan ternyata pada tanggal 1 april 2016 ternyata barang nya masih diantarkan pihak JNE ke alamat pertama saya ( sblm direvisi ), lalu saya tolak karena sebelumnya saya sudah komunikasikan dengan pihak blibli, kalau barang tsb masih sampang ke alamat pertama maka akan saya tolak. Lalu pihak JNE membawa pergi kembali barang tsb ( saya pikir dia lgsg proses ke alamat yang sudah diperbarui ). dan pada tanggal 5 april 2016 saya coba cek ke pihak JNE nya untuk mengetahui sudah sampai dimana, dan anda tau apa yang diucapkan ? bahwa pihak JNE tidak mengetahui alamat yang terbaru ( pihak JNE hanya tau pindah alamat itupun dari orang tua saya ). pertanyaan nya adalah apa yang dokunikasikan antara pihak BLIBLI ke distributor ? jangan2 sejauh ini tidak ada komunikasi mengenai penggantian alamat ? hanya sekedar laporan pihak pembeli dengan BLIBLI. dimana tingkat kepedulian BLIBLI terhadap costumernya ? sungguh saya sangat kecewa.|1;;
