no|title|text|senti_value
1205|Banyak pilihan, bisa cicilan 0%, GRATIS ongkir! Yayy!|Blibli.com is the best place ever to shop online! Why? Karena di Blibli.com banyak banget pilihan produknya, bisa cicil 0% sampai 12 bulan (ini paling favorite buat saya), dan gratis ongkos kirim ke seluruh Indonesia. Kemarin ini saya pesan jam tangan Swiss Army untuk hadiah ulang tahun adik saya. Sempat bingung mau belikan apa, tapi karena di Blibli.com pilihan produknya banyak banget, akhirnya ketemu juga barang yang saya anggap sesuai untuk dijadikan kado. Beruntung banget belinya pas promo Fun Weekend Deal, jadi saya bisa dapet harga yang lumayan hemat. Senengnya lagi, bayarnya bisa cicil 0% dan gratis ongkir! Buat yang belum pernah nyoba belanja di Blibli.com, I guarantee.. Blibli.com recommended koq. Sekali coba, pasti ketagihan pengen belanja lagi, lagi, dan lagi. hehehe.. cheers!|5
1206|Kapok !|Pertama kali pesan dan berpikir ini yang terakhir! Pesanan 3049809. Sudah seminggu tapi status masih menunggu kurir. Kalo ga ada toko online lain yg jual (kaskus,olx,lazada dll) mending ga usah beli disini dah.|5
1207|Promo baru dibuka jam 10 barang enggak ada|blibli.com sama britouch promo Galaxy A5, ketika dipesan barang tidak ada, payah ini toko.|5
1208|Cape nungguin barang ...Gazebo alis Ga zelas boooo|Saya beli iphone 6 plus dengan No pesanan 3021656 tanggal 16 Februari 2015, sampai hari ini Kamis tanggal 19 Februari 2015 statusnya masih menunggu pengambilan kurir padahal pake RPX priority. Sebelum nya biasa beli di Bhinneka atau lazada paling 2-3 hari nyampe. Kapok deh gue beli barang di blibli.com, tadinya mau beli juga buat istri tapi engga deh....mending ke toko online lain|5
1209|Cukup baik|Pengalaman saya pertama kali bebelanja di blibli.com adalah Preorder Sony Xperia Z2. Saat itu website karena trafic banyak menjadi sangat lambat sehingga saya kesulitan memilih pembelian cicilan BCA dan akhirnya salah memilih. Alhasil saya tidak mendapatkan potongan tambahan 500rb padahal pembayaran saya lakukan dengan memilih kartu kredit BCA. Setelah komplain panjang dan berkali-kali telp saya diberikan voucher 25rb, saya yakin biaya telp saya melebihi nominal tersebut. Untuk keamanan belanja saya nilai situs ini cukup baik beberapa kali saya belanja melalui blibli.com dengan nilai transaksi di 1jt s/d 10jt semua barang saya terima dalam kondisi baik. Pada tanggal 24 Juni ini saya menerima pesanan notebook yang saya order pada tanggal 22 Juni. Walaupun bukan one day delivery tapi saya rasa 2 hari delivery bukan hal yang buruk. Keuntungan berbelanja di Blibli.com adalah banyak barang yang dapat dibeli dengan cicilan 0% walau bukan harga termurah tapi promo itu memberikan keringanan untuk pembeli. Semoga ke depannya harga makin baik pelayanan makin baik dan promo 0% dipertahankan.|5
1210|Bagus dan banyak diskonnya|Beli powerbank pas acara kamis ganteng, barang-nya bagus dan murah, puas saya terhadap barangnya dan diskonnya|5
1211|Pasang Kaca Film Respon Cepat!|"Gw beli kaca film di Blibli.com responnya ok banget! Siang beli sekitar jam 1-2, gak lama kemudian merchant-nya telepon untuk waktu pemasangan. Besok paginya petugasnya dateng, gak sampe 1 jam kaca film depan udah selesai terpasang! Dari sisi produk, ternyata lumayan gelap sekitar 30-40%, cocok buat yang memang gak mau keliatan dari luar, dan buat dipake malam hari masih ok, cuman memang pandangan dari dalam lebih gelap jadi mata perlu extra hati-hati kalo pas ada orang nyebrang. Dari sisi pemasangan, pemasangannya cepat dan cukup rapi, cuman sayang banget tanpa konfirmasi gw, orangnya nyopot stiker ""OK""-nya Honda yang tertempel di kaca depan sebelah kiri bawah. Soal ini gw rada kecewa karena gw pengen mempertahankan orisinalitas mobilnya. Jadi buat yang mau pasang, kasih tau dulu yang lengkap apa yang kita mau. Buat merchant-nya, minta tolong ke depannya kasih tau petugasnya untuk konfirmasi setiap ada sticker yang mau dicopot dari kaca. Kalo ada konfirmasi, gw pasti kasih bintang 5, tapi karena gak ada konfirmasi, gw kasih bintang 4 untuk reviewnya. Overall recommended!"|5
1212|Beli Headset Havit 3 Hari Sampai dan Pengemasannya Rapi|Saya beli Headset Havit terbaru di blibli.com minggu lalu. Harganya dipotong 20% karena lagi promo, lumayan buat nonton film pake laptop di rumah. Setelah daftar sebagai member dan beli tuh headset Havit, cuma butuh waktu 3 hari aja agar headsetnya nyampe di rumah. Kaget juga dengan pengemasan headsetnya yang rapi. Makasih yaa blibli.com, jadi merasa dihormati banget sama blibli.com. Pertahankan pengemasannya yang rapi yaa. Thanks.|5
1213|Pelayanan Luar Biasa, Pengiriman Sangat Cepat !!|Awalnya saya sempat ragu-ragu untuk memilih blibli.com sebagai tempat berbelanja online karena banyaknya review yang kurang bagus. Tetapi saya memberanikan diri berbelanja dengan mempertimbangkan dengan matang hal-hal tidak baik yang nanti mungkin akan terjadi, karena barang yang dijual sudah sesuai dengan keinginan saya, baik dari sisi harga maupun spesifikasi. Saya beli Iphone tanggal 12 February 2015 sore sekitar jam 4 sore. Setelah transaksi selesai muncul notifikasi bahwa barang akan sampai antara tgl 13 - 18 February 2015. Pengiriman barang saya alamatkan di tempat kerja saya di Jogja. Dengan mempertimbangkan banyak review yang saya baca, asumsi saya barang akan sampai paling cepat tanggal 17 atau malah 18 Feb 2015. Tgl 14 Feb saya di telpon oleh kurir bahwa barang saya sudah diantar ke kantor dan diterima security. Luar Biasa blibli.com Terima Kasih sudah sangat membantu, barang saya terima dengan sempurna. Maju Terus blibli.com !!!|5
1214|Blibli Pembohong|saya pesan parfum mulai tanggal 5 februari sampai tanggal 17 tidak sampai sampai, alasan banyak banget tau gitu nyesel milih blanja di blibli|5
1215|kok banyak negatif respon nya daripada positif respon ya?|Hari ini saya baru saja registrasi dan aktivasi akun di blibli.com, karena saya tertarik dan ingin membeli produk hp lenovo A7000 yang di toko online sebelah baru ada besok tgl 25juni2015 dengan sistem flash sale. Tapi setelah saya chat dengan CSnya saya jadi ragu mau beli di sana, dan iseng googling review belanja di blibli.com dan ternyata banyak negatif respon, akhirnya saya putuskan tidak jadi beli hp tersebut di blibli.com sampai semua menjadi lebih baik. :)|5
1216|Pengiriman Tidak Jelas|Ternyata sudah banyak kesan negatif dari Bapak/Ibu sebelumnya yang memberikan review disini, dan sekarang saya menjadi salah satunya yang mengalami kesan buruk berbelanja di blibli.com. Saya sudah sering berbelanja di online shop, tapi baru di blibli.com yang saya mengalami pengalaman buruk seperti sekarang. Saya melakukan pemesanan dan pembayaran pada hari Senin 15 Juni 2015, dan saya mendapat info estimasi pengiriman tanggal 17-23 Juni 2015, tapi sampai tanggal 24 Juni 2015 statusnya masih belum juga berubah (Pesanan sedang diproses). Untung saja saya belum sampai meng-order barang seperti smartphone atau sejenisnya. Tolong dong lebih profesional.|5
1217|Pengiriman lama|Saya order dari tgl 13 juni 2015. Jadwal pengiriman tgl 16-22 juni 2015. Sampai sekarang barang belum jg dikirim. Saya cek di web status nya masih menunggu kurir. Selama saya belanja di online.. disini aja yg saya rasa pengiriman agak lama. Kalau disitus sebelah 2 hari langsung terkirim.. saya udah tlp ke call center berkali2, bilangnya mau dibuat laporan trs.|5
1218|Puas Membeli Telepon Rumah di Blibli.comut|Mendengar ada promo Cicilan 0% untuk semua produk di Blibli.com, saya langsung mencari telepon rumah untuk menggantikan yang sekarang sudah error. Pilihan pun jatuh pada Cordless Phone Panasonic. Transaksi pun langsung saya lakukan dengan mengubahnya menjadi Cicilan 0% 6 bulan dengan menggunakan CC BNI. Kurang dari seminggu pun produk telah saya terima dan tagihan di Billing Statement juga langsung berubah menjadi Cicilan 0%. Pokoknya puas deh.|5
1219|MENGECEWAKAN!!|No order pesanan saya 3428924 Kamis Ganteng - AVA K7 Falcon Black Helm Half Face. Saya bayar tagl 2, tapi statusnya sampe sekarang 7/7/2015 masih menunggu proses pengambilan kurir. Pengalaman saya di bukalapak.com tidak selama ini. Hellooo blibli, jasa pengiriman bentar lagi tutup lohh menjelang lebarannn! Kapok deh beli di Blibli!!!|5
1220|Proses pengiriman yang lama|Blibli sesuai dengan harga murah kualitas juga murahan, saya beli helm di Blibli karna liat harga murah dan bisa cicilan 0%, awalnya ragu karna banyak yang bilang barang gak sampe2, tp karna saya butuh akirnya saya beli juga, transaksi tanggal 1 July 2015 dan untungnya tidak ada problem dalam pembayaran, namun sampai hari ini barang masih status menunggu pengambilan barang di kurir, saya sempat chat dengan CS dan CS hanya bisa menjawab akan ditanyakan ke bagian logistik, dari tanggal 2 sampai tanggal 6 july kalau memang seharusnya nunggu kurir JNE gak dijemput ya seharusnya dari pihak sana langsung ke JNE terdekat untuk mengirim barang, tapi sampai hari ini masih menunggu kurir, padahal JNE sendiri tutup per tanggal 10 July 2015, gatau deh mau sampai kapan barang saya sampai.. ID Pesanan saya 3166167 untuk pembelian Helm, nyesel beneran beli di Blibli, saya cm berharap barang sampe aja sekarang, udah gak ngarep cepet deh, buat semua yang mau beli di Blibli mending dipikir2 lagi deh, dikarenakan tidak adanya peningkatan kualitas sebagai seller ONLINE SHOP, yang ada bukannya mempermudah malah jadi memperlambat.. pokoknya bener2 NOT RECOMENDED ONLINE SHOP, kalau memang mau dibenahin silahkan deh tp saya cukup skali aja order disini, gak bakalan tergiur harga murah, kalau pelayanan juga murah buat apa beli disini. Update sampai hari ini tanggal 07 July 2015 belum ada kabar dari pihak Blibli kapan barang saya akan dikirim, mohon diperhatikan|5
1221|Status barang menunggu pengambilan kurir sampai berhari2|Selamat siang, Barang saya belum dikirim, Dari tanggal 18 juni status pengirimannya masih harus menunggu pengambilan kurir. Bagaimana nih tanggung jawabnya? Apakah proses pengambilan kurir sampe selama itu ya? Ato barangnya yg gda. Thanks Fitri|5
1222|Dapat dipercaya|Saya baru sekali belanja di Blibli yaitu belanja HP Lenovo P70. Alhamdulillah, kondisi barang ok, packing juga ok walau pengiriman rada molor dari yang ditetapkan. Walau begitu dari Bliblinya selalu menginformasikan by email tentang alasan kenapa terjadi keterlambatan disertai surat pemberitahuan dari pihak Lenovonya juga. Sebagai kompensasi keterlambatan, dari pihak Lenovonya pun saat pengiriman barang disertakan bonus voucher belanja. Sejauh ini, saya puas banget dengan pelayanan dari Blibli. Semoga blibli semakin dapat dipercaya , selalu menginformasikan secara detail dan jujur kepada konsumen sehingga barang2 yang di pasarkan dijamin kualitasnya .|5
1223|Sangat buruk|Saya beli bed cover dan sprei tanggal 10 saya pesen dan saya bayar.sampai detik ini pun g ada kabar. Sangat buruk sama aja kek penipuan|5
1224|KECEWA DAN TIDAK AKURAT ALASANNYA|Tgl 09 Juni 2015, saya order iphone 4s dengan No. Pesanan 3989224, proses pengiriman cepat, packing rapih, namun pada saat pemakaian pertama kali ternyata iphone ngehank, awal nya saya diamkan namun seterusnya jadi sering ngehank bahkan sampai ngeblank lalu tepat di hari minggu kira-kira tgl 20 juni 2015 ternyata iphone ngeblank dan jdi suka mati terus hape nya slalu kembali ke menu apple..setelah itu saya telp cs blibli krn masih baru saya di sarankan untuk mengisi form pengembalian produk dan akan mendapatkan pengembalian hp baru dan tidak usah menghubungi pihak merchan nya krn kalo menghubungi pihak merchan hanya akan diservice tidak diganti baru lalu saya ikuti apa yg di bilang cs blibli untuk pengembalian produk lewat blibli akan mendapatkan penggantian hp baru dan setelah itu beberapa hari kemudian saya di telp cs blibli kalo hape nya mau dijemput kurir. sebelum di ambil kurir saya foto fisik hp, Fisik hp masih baru tidak ada cacat sama sekali, lecet tidak ada bahkan tidak ada bekas congkelan sama sekali. Setelah di jemput kurir beberapa hari kemudian saya live chat dgn cs blibli dan mendapatkan info bahwa hp saya sudah di terima blibli dan langsung di proses ke pihak merchan dan memakan waktu 14 hari. Sampai hari ini tgl 06 juli saya tidak dapat konfirmasi apapun lalu sekitar jam 12.30 wib saya telp cs blibli dan menanyakan kejelasan hp saya, namun sangat buat saya kaget dan kecewa bahwa pihak merchand memberi info ke blibli kalo hp saya ada lecet, bekas congkelan dan pernah jatoh.. daan pihak merchand tidak mau mengganti hanya akan dilakukan service. SUNGGUH TIDAK MASUK AKAL, MEMBUAT LAPORAN YG TIDAK AKURAT HANYA KARENA PIHAK MERCHAND TIDAK MAU MENGGANTI...SAYA SANGAT KECEWA BARU PERTAMA ORDER DAPAT HP RUSAK DAN PROSES PENGEMBALIAN TIDAK ADA INFO SETELAH DI CARI INFO DAPAT JAWABAN YG TIDAK AKURAT. JIKA SAYA TIDAK MENDAPTKAN PENGGANTIAN, SAYA MINTA REFUND UANG SAYA WALAUPUN SAYA MEMBELI DENGAN KARTU KREDIT ..JIKA MASIH BERBELIT-BELIT SAYA AKAN PROSES MASALAH INI,,BUAT APA BELI HP BARU TAPI SERVICE..NO RECOMENT UNTUK BLIBLI..|5
1225|Terlalu Lama Menunggu|Saya pesan parfum tanggal 10-6-15 dan langsung saya bayar. Saya memilih jasa pengirimannya melalui JNE. Tapi 5 hari kmudian saya baru dapat kabar pengirimannya akan di alihkan ke platinium, ktanya karena barangnya cair maka pengiriman di alihkan. Tapi sebelumnya saya pernah memesan parfum juga di Toko online sebelah, sebut saja L*zada dan brang saya terima dalam waktu 5 hari. Awalnya saya juga berfikir klo blibli akan mengantarkan barangnya paling lama 1 minggu, ternyata tidak. Mungkin karena Jasa pengirimannya di ubah melalui laut dan saya berharap paling lama 10 hari barangnya bakalan sampe. Kenyataannya sampe sekarang tanggal 4-7-17 sudah 24 hari barang masih belum saya terima. Pihak blibli mengatakan bahwa barangnya masih dalam proses pengiriman. Saya pikir mungkin barangnya udah keliling dunia kali ya..|5
1226|Memuaskan|Saya sudah sering berlanja di blibli.com dan terakhir ini beli barang YONG MA YMC110 Rice Cooker. Dan barang sampe dalam 2 hari. Saya pikir wajar karena barang dikirim oleh merchant. Karena sebelumnya saya juga beli Yong Ma Magic Com YMC206 di website tertulis barang dikirimkan oleh blibli.com dan hasilnya barang sampe hanya 1 hari setelah melakukan order. Pengiriman ke Wilayah Depok.|5
1227|Barang oke banget|Pesen rak sepatu AIUEO di Blibli.com karena tertarik dengan diskon dan kegunaan rak sepatu itu. Sempet harap-harap cemas karena pengadaan barangnya agak lama. Tapi setelah paket diterima, barangnya oke banget. Lemari rak sepatu ini ternyata DIY dan knock down, jadi mesti dirangkai dulu deh. Puas banget belanja online di Blibli.com pokoknya.|5
1228|Mudah dan cepat|Kemarin cobain beli barang d blibli, pas cari barang gampang, tampilan web nya juga nyaman diliat, gak bikin pusing. Pembayaran nya tersedia banyak variasi bank, keren.. Ending : 2 hari kemudian barang sampai, free ongkir, spek barang sesuai d gambar... Keren blibli.com|5
1229|tanya status pembayaran|selamat sore blibli.com, mau tanya, hari ini saya melakukan pemesanan hp samsung dgn no pemesanan 4464409, dan pembayaran dgn kartu kredit Bca 0%, tetapi knapa statusnya masih menunggu pembayaran ya? dan tadi sudah chat ke blibli disuruh nanya ke BCA, ini gimana yaa?knapa jadi ribet gini? biasanya pesan ditempat lain lancar2 aja kok. mohon jawabanyya.. terimakasih|5
1230|Pesanan Lama Tidak Sampai (UPDATE)|UPDATE: Barang Sudah Diterima pada tanggal 3 Juli 2015 Jam 23.20, yang saya bikin kaget JNE nya bela2in kirim karena saya sabtu paginya sudah harus keluar kota. Sebelumnya dari pihak blibli sempet telepon cuma terputus karena sinyal jelek dan pihak blibli email akan mengirim barang pada senin 6 Juli 2015 tetapi pihak JNE telepon sekitar jam 19.50 untuk mengantarkan barangnya hari itu juga karena alamat yang saya gunakan alamat kantor maka pihak JNE akan mengirimkan kerumah saya dan sampai sekitar jam 23.20. barang dipacking sangat rapi menggunakan bubble, barang masih tersegel rapi. Ini pengalaman saya membeli barang pertama kali di blibli.com, pada tanggal 26 Juni 2015 membeli produk Xiaomi Xiaoyi Sport Basic Edition Green Action Camera dengan promo kamis ganteng dengan no pesanan 4307611 dengan merchant ANGEL, metode pembayaran dengan cicilan 12x menggunakan kartu kredit, proses pembayaran berjalan dengan baik, kemudian di website status pesanan menjadi Pesanan sedang diproses dengan estimasi pengiriman 26 Juni 2015 s/d 02 Juli 2015, sampai dengan hari sabtu tanggal 27 Juli 2015 status pesanan tetap Pesanan sedang diproses, lalu saya menghubungi pihak blibli.com melalui live chat untuk mengetahui status pesanan saya, customer care hanya bilang tunggu sampe dengan tanggal 2 juli 2015, pada hari senin 29 Juni 2015 saya cek website blibli.com ternyata status tak kunjung berubah, lalu saya mengirimkan email ke [private info removed] pada jam 15.30 untuk menanyakan status pesanan, customer care blibli.com membalas email pada tanggal 30 Juni 2015 jam 8.29 sangat lama untuk merespon email menanyakan status pesanan, di email tersebut hanya bilang akan di follow up, karena saya tidak puas dengan email tersebut dan saya sangat membutuhkan barang tesebut untuk digunakan saya menelepon customer care pada sore harinya untuk menanyakan status pesanan dan tetap bilang akan di follow up ke merchant, setelah saya telepon saya cek status pesanan di website di jam 19.00 ternyata sudah berubah menjadi Menunggu pengambilan kurir 30 June 2015 18:25 dengan no resi belum tersedia, saya bersabar menunggu sampai pada tanggal 2 Juli 2015, ternyata sampe dengan jam 16.30 barang tak kunjung datang dan saya live chat dengan customer care blibli.com dan apa yang terjadi pihak customer care bilang akan follow up ke merchant dan akan mengecek kesediaan barang pada esok hari, sungguh diluar dugaan, untuk kesediaan barang saja pihak blibli.com tidak mengetahui, untuk apa menjual barang yang tidak mempunyai stock dan jelas-jelas di website status Available, sungguh tidak sangat tidak profesional blibli.com sebagai online shop, saya tidak merekomendasikan blibli.com, sungguh penuh dengan ketidakpastian, sebagai customer yang pertama kali berbelanja di blibli.com saya sangat KECEWA dan salahnya saya tidak melihat review banyak orang yang juga mengalami hal yang sama karena tergiur dengan barang murah bisa kredit 0% dan gratis ongkos kirim yang pada akhirnya merugikan saya|5
1231|Barangnya lengkap|Saya sdh lama cari asus zenfone 2 di mall tapi semua kosong. Cari di ol shop lain juga stok kosong. Cuma di blibli yang tersedia. 3 hari sampai lagi. Meskipun saya ga punya kartu kredit, masih bisa beli pake transfer atm. Gampang dan aman. Makasih blibli! Request casing asus zenfone 2 yang 5inci yah heheee|5
1232|beli Asus tab 7 nyampe 3 hari aja ke garut|Baru pertama kali beli barang mahal di blibli.com, pakai kartu kredit bca. Pengen membuktikan cicilan 0% yang kayak diiklannya. Kebetulan emg ngebet beli asus tab 7 yg harganya 2,2 juta. Terus gw beli utk dikirimkan ke garut, daerah tarogong. Beli hari senin malem dan barangnya nyampe di garut hari kamis pagi. Pas 3 hari. Sampai skrng sih gw masih merasa aman beli di blibli. Yg bikin seru juga adalah pilihan banknya yg bnyk. Trimz ya blibli|5
1233|Cepat dan selamat|Order jam tangan fossil tgl 29 juni, hari ini sudah sampai (2juli). Cepeet bangeettt. Tinggal tunggu tagihannyaaa krn sy menggunakan cc m*****.|5
1234|bertanya tentang tata cara pembayaran|Saya bingung saya mau beli hp di blibli.com melalui transfer itu dibayar lunas apa bisa nyicil, saya ragu buat transfer? Mohon untuk dijawab|5
1235|Kecewa pengiriman tak kunjung sampai dan status tidak jelas|Ini pengalaman saya membeli barang pertama kali di blibli.com, pada tanggal 26 Juni 2015 membeli produk Xiaomi Xiaoyi Sport Basic Edition Green Action Camera dengan promo kamis ganteng dengan no pesanan 4307611 dengan merchant ANGEL, metode pembayaran dengan cicilan 12x menggunakan kartu kredit, proses pembayaran berjalan dengan baik, kemudian di website status pesanan menjadi Pesanan sedang diproses dengan estimasi pengiriman 26 Juni 2015 s/d 02 Juli 2015, sampai dengan hari sabtu tanggal 27 Juli 2015 status pesanan tetap Pesanan sedang diproses, lalu saya menghubungi pihak blibli.com melalui live chat untuk mengetahui status pesanan saya, customer care hanya bilang tunggu sampe dengan tanggal 2 juli 2015, pada hari senin 29 Juni 2015 saya cek website blibli.com ternyata status tak kunjung berubah, lalu saya mengirimkan email ke [private info removed] pada jam 15.30 untuk menanyakan status pesanan, customer care blibli.com membalas email pada tanggal 30 Juni 2015 jam 8.29 sangat lama untuk merespon email menanyakan status pesanan, di email tersebut hanya bilang akan di follow up, karena saya tidak puas dengan email tersebut dan saya sangat membutuhkan barang tesebut untuk digunakan saya menelepon customer care pada sore harinya untuk menanyakan status pesanan dan tetap bilang akan di follow up ke merchant, setelah saya telepon saya cek status pesanan di website di jam 19.00 ternyata sudah berubah menjadi Menunggu pengambilan kurir 30 June 2015 18:25 dengan no resi belum tersedia, saya bersabar menunggu sampai pada tanggal 2 Juli 2015, ternyata sampe dengan jam 16.30 barang tak kunjung datang dan saya live chat dengan customer care blibli.com dan apa yang terjadi pihak customer care bilang akan follow up ke merchant dan akan mengecek kesediaan barang pada esok hari, sungguh diluar dugaan, untuk kesediaan barang saja pihak blibli.com tidak mengetahui, untuk apa menjual barang yang tidak mempunyai stock dan jelas-jelas di website status Available, sungguh tidak sangat tidak profesional blibli.com sebagai online shop, saya tidak merekomendasikan blibli.com, sungguh penuh dengan ketidakpastian, sebagai customer yang pertama kali berbelanja di blibli.com saya sangat KECEWA dan salahnya saya tidak melihat review banyak orang yang juga mengalami hal yang sama karena tergiur dengan barang murah bisa kredit 0% dan gratis ongkos kirim yang pada akhirnya merugikan saya.|5
1236|Cepat sampai|Beli lenovo a536 d blibli, 2 hari langsung sampai. Pelayanannya super, ngirimnya juga cepet banget- super lah blibli. Gw super puas|5
1237|REFUND BLIBLI YANG SANGAT MENGECEWAKAN!!!|Awalnya order di blibli.com Asus Zenfone 5 black di Selasa, 7 April 2015 NO. PESANAN: 3366241 saya melakukan pembayaran dengan kartu kredit bank hsbc medote cicilan 12 bulan dan tagihan pertama sudah langsung dibayarkan via kartu kredit hsbc untuk bulan mei 2015, lalu dikonfirmasi pembayaran sudah ditrima oleh pihak blibli dilanjutkan pengiriman barang, Estimasi pengiriman: 10 Apr 2015 sampai 16 Apr 2015 namun di akhir waktu estimasi pengiriman 16 April pihak blibli memberi kabar bahwa produk Asus Zenfone 5 black habis dan order dengan No.3366241 sy dibatalkan lalu pihak blibli menjanjikan refund dana kartu kredit saya dan memberi waktu estimasi 14 hari kerja.. setelah waktu 14 hari kerja saya konfirmasi ke pihak blibli dan mereka bilang sudah selesai Namun anehnya tgl 15 Juni 2015 tepat di bulan kedua tagihan kartu kredit saya di sana terlihat blibli.com masih muncul di tagihan kartu kredit hsbc saya tersebut , lalu sy komplain ke pihak cs blibli dan selalu bilang akan di follow up, follow up dan follow up trus mohon ini diproses jangan bilang follow up, follow up, follow up............melulu karena sy sebagai pelanggan blibli.com sangat kecewa dengan pelayanan ini bahkan sampai tagihan kedua masih ditagih padahal barang sudah batal dan tak sampai di tangan saya kenapa masih ditagih mohon di proses secepatnya|5
1238|servis buruk sekali. kapok!|saya order xiaomi yi pada program kamis ganteng 25 juni, tapi sampai sekarang 2 juli, boro2 barang dikirim, statusnya aja masi menunggu pickup jne. pas coba telp call center 0804 1 871 871 isinya sampah, nunggu lebih dari 1 menit cuma penjelasan cicilan, bank mana aja yg partisipasi. abis2i pulsa aja. enak banget pake skema ngumpulin duit dulu dari customer, tapi seminggu lebih barang ga dikirim2.|5
1239|Menyesal belanja disini|Saya sudah melakukan pembayaran dr tanggal 8 juni estimasi pengiriman 10-16 juni sampai skrang barang saya gak dikirim sudah saya hubungi csnya tetapi jawabannya cm flw up tpi gak ada hasil sama sekali, saya minta refund tpi csnya gak mau..cs nya selalu banyak alasan. Saya sangat tidak nyaman berbelanja disini..pihak blibli sudah melakukan penipuan terhadap konsumen.. kalo sampai hri ini barang saya tidak diterima saya minta refund, klo sampai hari senin uang refund saya belum dikembalikan saya akan laporkan ke pihak berwajib atas dasar penipuan.|5
1240|Pesanan tidak lengkap dan tidak akuratutha|Tgl 15 Juni 2015 saya order di Blibli 3 items dengan 3 kode pesanan yang berbeda di merchant yg sama. Semuanya ok dan langsung ada konfirmasi pembayaran telah diterima. Kode pesanan 4111619 (isi velg motor) no resi [private info removed], kode pesanan 4110261 (isi ban) no resi [private info removed], kode pesanan 4104605 no resi [private info removed], semua pesanan dilakukan dalam waktu 1 jam di hari yang sama yaitu tgl 15 Juni 2015. Lalu tgl 16 Juni dilihat dari cek status pesanan, barang sudah diambil kurir dan tgl 17 Juni 2015 siang barang diterima oleh orang tua saya karena saya kerja. Ternyata barang yang di terima cuma 2 items yaitu 2 ban. Lalu saya cek ke pihak kurir NCS ternyata no resi [private info removed] (seharusnya item ban) tidak ada didata mereka, jadi yg tgl 17 Juni 2015 yang orangtua sya terima adalah no resi [private info removed] (seharusnya velg) tapi yang diterima ban dan no resi [private info removed] item ban (sesuai). Saya tidak tahu kesalahan ada dipihak mana. Mohon pihak BLIBLI segera menyelesaikan hal ini secepatnya karena saya tidak mau ini menjadikan saya terakhir kali belanja lewat BLIBLI.|5
1241|Menunggu niat baik blibli|Beli asus fonepad 8 dg nmor order 4103704 tgl 15 juni 2015, terima pada tanggal yang sama,,hebaat,,tapi stelah dibuka rernyata ada cacat produksi, layarnya ada garis horizontal krna wktu sya terima udah malam maka besoknya sya isi formulir return lengkap dgn syarat dan ketentuan yg berlaku di blibli,,tapi setelah 2 hari menunggu blm ada repon dri pihak blibli,,sya sudah live chat puluhan dg CS jawabnya blm ada respon, n dibantu follow up pdhal diiklannya bhwa barang disediakan oleh blibli,,yg seharusnya prosesnya bisa lebih cepat,,smpai hari ini device nya blm sya gunakan sama sekali,,n msh menunggu konfirmasi return dri blibli,,mdh2an tidak mengecewakan pelanggan,,|5
1242|6 kali pesan 6 kali gagal|"Seharian kerjaan saya hanya melakukan pemesanan berulang-ulang. Saya memilih metode pembayaran dengan cicilan ,setelah memasukkan data maka page kembali dengan status pemesanan menunggu pembayaran. Saya konfirm ke pihak bank katanya gagal karna jaringan dr merchant. Saya bingung prosesnya lama karna memilih cicilan atau mmg karna jaringan. Ditanya ke tim supportnya disuruh ganti browser tp tetap aja sama. Pertama kali order disini langsung kendala yg membuat sy tidak nyaman. Distatus pesanan tertulis ""Anda memiliki keleluasaan waktu 42 menit untuk menyelesaikan pembayaran sebelum pesanan Anda dibatalkan secara otomatis "" sementara tidak ada pilihan untuk melanjutkan pembayaran. Sepertinya sistemnya perlu dibenahi untuk meningkatkan kepuasan terhadap konsumen"|5
1243|Kecewaaa bgt, pengiriman yang super lamaaa|Order tgl 9 Juni 2015, dengan no pesanan 3982646, sampai hari ini 17 Juni 2015, statusnya selalu dalam proses, padahal disana sudah tertera estimasi pengiriman tgl 10-16 Juni, ini uda tgl 17 Juni malah msh dalam proses. Sudah 2 kali complain via live chat, gak ada solusi sama sekali. Katanya merchant gak bisa dihubungi. Jadi solusinya apa kalo merchant gak bisa dihubungi. Hanya maaf atas ketidaknyamanan, itu bukan solusi. Kecewa banget, never ever order from blibli again.|5
1244|bingung|saya beli dengan cicilan 0% tapi kok bayar penuh ya?|5
1245|BliBli ingin mengganti atau membatalkan pesanan sesukanya.|"Hari Rabu 10 Juni 2015 saya memesan kamera Sony A5000 HITAM dalam promo RabuCantik di blibli.com, yg dijanjikan untuk dikirim antara tanggal 12-18 Juni. Sampai hari senin statusnya tetap ""pesanan sedang disiapkan"". Senin siang saya menerima email bahwa status barangnya tidak tersedia dan akan diganti dengan warna putih. Segera saya cross-check ke website, dan ternyata barang tersebut tercantum masih tersedia (tidak promo dan tentunya harga lebih mahal), bahkan saya bisa memesan sampai 4 unit sekaligus. Dengan bukti itu saya minta agar barang tetap dikirimkan sesuai pesanan warna hitam. Tapi blibli justru memilih untuk membatalkan pesanan tersebut. Sungguh menunjukkan itikad tidak baik terhadap konsumen yang sudah telanjur membayar, atau setidaknya membuktikan ketidakprofesionalan blibli dan vendornya dalam menangani pesanan."|5
1246|gimana si cara belanja diblibi.com soalnya saya mau pesan iphone|saya mau pesan iphone 4s bayarnya harus pake kartu kredit yaa ?? mohon infonya dong|5
1247|aman ga sih belanja di blibli.com|Saya mau tanya aman dan di jamin nyampe g sih klo beli barang di blibli.com soalnya saya agak ragu?|5
